date,총계,검사중,결과 음성,확진자,격리해제,격리중,사망
2020-03-01,96985,32422,61037,3526,30,3479,17
2020-03-02,98921,33360,61825,3736,30,3684,22
2020-03-03,125851,35555,85484,4812,34,4750,28
2020-03-04,136707,28414,102965,5328,41,5255,32
2020-03-05,146541,21810,118965,5766,88,5643,35
2020-03-06,164740,21832,136624,6284,108,6134,42
2020-03-07,178189,19620,151802,6767,118,6605,44
2020-03-08,188518,19376,162008,7134,130,6954,50
2020-03-09,196618,17458,171778,7382,166,7165,51
2020-03-10,210144,18452,184179,7513,247,7212,54
2020-03-11,222395,18540,196100,7755,288,7407,60
2020-03-12,234998,17727,209402,7869,333,7470,66
2020-03-13,248647,17940,222728,7979,410,7402,67
2020-03-14,261335,17634,235615,8086,714,7300,72
2020-03-15,268212,16272,243778,8162,834,7253,75
2020-03-16,274504,14971,251297,8236,1137,7024,75
2020-03-17,286716,17291,261105,8321,1401,6838,81
2020-03-18,295647,16346,270888,8413,1540,6789,84
2020-03-19,307024,15904,282555,8565,1947,6527,91
2020-03-20,316664,15525,292487,8652,2233,6325,94
2020-03-21,327509,15704,303006,8799,2612,6085,102
2020-03-22,331780,14540,308343,8897,2909,5884,104
